N;ID;ABREV;NOMBRE;MAXALUM;EDIFICIO;PREF;CUAD;BANDAH;Z;
880;38;A001;AULA 1COM101 - AULA TIC;0;A;;..................................................................................................................................;;(WideMemo);
30;2;A002;AULA POLIVALENTE;0;C;;..................................................................................................................................;;(WideMemo);
40;3;A003;AULA POLIVALENTE;0;C;;..................................................................................................................................;;(WideMemo);
50;4;A004;AULA EMPRENDIMIENTO;30;C;;..................................................................................................................................;;(WideMemo);
60;5;A005;AULA TIC PARA EIE (FOL);30;C;;..................................................................................................................................;;(WideMemo);
10;0;A101;AULA TECNOLÓGICA;30;A;;..................................................................................................................................;;(WideMemo);
20;1;A102;AULA 102 DESDOBLE 15 PUESTOS BILINGÜE;0;A;;..................................................................................................................................;;(WideMemo);
80;7;A103;AULA TÉCNICA GS PREVENCIÓN RIESGOS 1º;0;A;;..................................................................................................................................;;(WideMemo);
90;8;A104;AULA TÉCNICA GS PREVENCIÓN RIESGOS 2º;0;A;;..................................................................................................................................;;(WideMemo);
100;9;A201;AULA 2ADG301 - 2DIFC303;0;A;;..................................................................................................................................;;(WideMemo);
110;10;A202;AULA 1ADG301 - 1DIFC303;0;A;;..................................................................................................................................;;(WideMemo);
120;11;A203;AULA 1ADG201;0;A;;..................................................................................................................................;;(WideMemo);
130;12;A204;AULA 1IFC301 - 1VIIFC302;0;A;;..................................................................................................................................;;(WideMemo);
140;13;A205;AULA 2IFC301 - VIFC403;0;A;;..................................................................................................................................;;(WideMemo);
150;14;A206;AULA POLIVALENTE QUÍMICA INDUSTRIAL;0;A;;..................................................................................................................................;;(WideMemo);
930;75;A207;AULA ORDENADORES QUÍMICA INDUSTRIAL;0;A;;..................................................................................................................................;;(WideMemo);
160;15;A301;AULA FISIOTERAPEUTA;0;A;;..................................................................................................................................;;(WideMemo);
170;16;A302;AULA 2ADG201 - 2VIFC302;0;A;;..................................................................................................................................;;(WideMemo);
180;17;A303;AULA TÉCNICA DE CARPINTERÍA Y MUEBLE;30;A;;..................................................................................................................................;;(WideMemo);
190;18;A304;AULA POLIVALENTE;30;A;;..................................................................................................................................;;(WideMemo);
200;19;A305;AULA POLIVALENTE;30;A;;..................................................................................................................................;;(WideMemo);
210;20;A306;AULA TIC - 1VIFC303;30;A;;..................................................................................................................................;;(WideMemo);
220;21;A307;AULA POLIVALENTE;30;A;;..................................................................................................................................;;(WideMemo);
230;22;A308;AULA  2COM101;0;A;;..................................................................................................................................;;(WideMemo);
240;23;A309;AULA  2COM303 - 2VIFC303;0;A;;..................................................................................................................................;;(WideMemo);
250;24;A310;AULA 2COM301 - 2VCOM304;30;A;;..................................................................................................................................;;(WideMemo);
260;25;A311;AULA  1COM201;30;A;;..................................................................................................................................;;(WideMemo);
270;26;A312;AULA 1COM303 - 1VCOM304;30;A;;..................................................................................................................................;;(WideMemo);
280;27;A313;AULA 2COM303 - 2VCOM302;30;A;;..................................................................................................................................;;(WideMemo);
290;28;A314;AULA  1COM301 - 1VCOM302;30;A;;..................................................................................................................................;;(WideMemo);
1030;82;ACRO;CD ACROPOLIS;0;;;..................................................................................................................................;;(WideMemo);
740;69;APOL;AULA POLIDEPORTIVO ACTIVIDADES FÍSICO-DEPORTIVAS;0;T;;..................................................................................................................................;;(WideMemo);
690;64;ATME;AULA POLIVALENTE TALLER MECANIZADO;0;T;;..................................................................................................................................;;(WideMemo);
630;59;ATRE;AULA POLIVALENTE TALLER DE REFRIGERACIÓN;0;T;;..................................................................................................................................;;(WideMemo);
730;68;ATSO;AULA POLIVALENTE DEL TALLER DE SOLDADURA;0;T;;..................................................................................................................................;;(WideMemo);
330;32;BIBL;BIBLIOTECA;0;T;;..................................................................................................................................;;(WideMemo);
340;33;CDM;COMPLEJO DEPORTIVO DE LAS MESTAS;0;E;;..................................................................................................................................;;(WideMemo);
960;30;CHAS;Club Hípico Astur;0;;;..................................................................................................................................;;(WideMemo);
380;37;CHD;CENTRO HÍPICO DE DEVA;0;E;;..................................................................................................................................;;(WideMemo);
1000;79;GYM;Sala de entrenamiento polivalente;0;;;..................................................................................................................................;;(WideMemo);
950;34;LANQ;LABORATORIO ANÁLISIS QUÍMICOS;0;A;;..................................................................................................................................;;(WideMemo);
320;31;LAUT;LABORATORIO DE AUTOMATISMOS;30;T;;..................................................................................................................................;;(WideMemo);
370;36;LCNC;LABORATORIO CONTROL NUMÉRICO;0;T;;..................................................................................................................................;;(WideMemo);
420;41;LENS;LABORATORIO DE ENSAYOS;0;T;;..................................................................................................................................;;(WideMemo);
940;40;LINS;LABORATORIO DE INSTRUMENTACIÓN;0;T;;..................................................................................................................................;;(WideMemo);
440;43;LMET;LABORATORIO DE METROLOGÍA;0;T;;..................................................................................................................................;;(WideMemo);
450;44;LNEU;LABORATORIO DE NEUMÁTICA;0;T;;..................................................................................................................................;;(WideMemo);
810;72;LREF;LABORATORIO DE REFRIGERACIÓN IMA;0;T;;..................................................................................................................................;;(WideMemo);
990;78;MAR;MAR-RIO Medio Natural;0;;;..................................................................................................................................;;(WideMemo);
460;45;OT1;OFICINA TÉCNICA 1;0;C;;..................................................................................................................................;;(WideMemo);
470;46;OT2;OFICINA TÉCNICA 2;0;C;;..................................................................................................................................;;(WideMemo);
70;6;OT3;OFICINA TÉCNICA 3;30;C;;..................................................................................................................................;;(WideMemo);
900;42;OTREF;OFICINA TÉCNICA REFRIGERACIÓN;0;T;;..................................................................................................................................;;(WideMemo);
850;74;PCAL;POLIDEPORTIVO DE LA CALZADA;0;E;;..................................................................................................................................;;(WideMemo);
480;47;PD;PALACIO DE DEPORTES DE LA GUÍA;0;E;;..................................................................................................................................;;(WideMemo);
870;76;PICA;PISCINA DE LA CALZADA;0;E;;..................................................................................................................................;;(WideMemo);
1010;80;PILL;Piscina del LLano;0;E;;..................................................................................................................................;;(WideMemo);
500;48;PISC;PÌSCINA MUNICIPAL DE EL COTO;0;E;;..................................................................................................................................;;(WideMemo);
510;49;POL1;POLIDEPORTIVO 1;0;T;;..................................................................................................................................;;(WideMemo);
520;50;POL2;POLIDEPORTIVO 2;0;T;;..................................................................................................................................;;(WideMemo);
970;35;PORT;PUERTO;0;;;..................................................................................................................................;;(WideMemo);
1020;81;PSUR;Piscina Gijón Sur;0;E;;..................................................................................................................................;;(WideMemo);
980;77;ROCO;POL ROCÓDROMO;0;;;..................................................................................................................................;;(WideMemo);
540;51;SAJU;SALA DE JUNTAS;0;A;;..................................................................................................................................;;(WideMemo);
920;29;SAJU2;SALA DE JUNTAS 2;0;A;;..................................................................................................................................;;(WideMemo);
550;52;TBIC;TALLER DE BICICLETAS;0;T;;..................................................................................................................................;;(WideMemo);
560;53;TCM1;TALLER DE CONS. MET. MONTAJE 1;0;T;;..................................................................................................................................;;(WideMemo);
580;54;TCM2;TALLER DE CONST. MET. MECANIZADO 2;0;T;;..................................................................................................................................;;(WideMemo);
590;55;TCM3;TALLER DE CONST METÁLICAS 3;0;T;;..................................................................................................................................;;(WideMemo);
600;56;TELE;AULA Y TALLER ELÉCTRICO IMA;0;A;;..................................................................................................................................;;(WideMemo);
640;60;TMA1;TALLER DE CARPINTERÍA Y MUEBLE 1 MAM;0;T;;..................................................................................................................................;;(WideMemo);
650;61;TMA2;TALLER DE CARPINTERÍA Y MUEBLE 2 MAM;0;T;;..................................................................................................................................;;(WideMemo);
670;62;TMEC;TALLER DE MECANIZADO TORNOS;0;T;;..................................................................................................................................;;(WideMemo);
680;63;TMES;TALLER DE MECANIZADOS ESPECIALES FRESA;0;T;;..................................................................................................................................;;(WideMemo);
700;65;TMGM;TALLER MANTENIMIENTO GRADO MEDIO;0;T;;..................................................................................................................................;;(WideMemo);
760;70;TMGS;TALLER MANTENIMIENTO GRADO SUPERIOR;0;T;;..................................................................................................................................;;(WideMemo);
910;71;TMOB;TALLER MECANIZADO OPERACIONES BÁSICAS;0;T;;..................................................................................................................................;;(WideMemo);
610;57;TMR;TALLER MECANIZADO REFRIGERACIÓN;0;T;;..................................................................................................................................;;(WideMemo);
890;39;TRC1;TALLER REFRIGERACIÓN;0;T;;..................................................................................................................................;;(WideMemo);
620;58;TRC2;TALLER DE REFRIGERAZIÓN Y CLIMATIZACIÓN IMA;0;T;;..................................................................................................................................;;(WideMemo);
710;66;TSAN;TALLER DE SOLDADURA EN ATMÓSFERA NATURAL;0;T;;..................................................................................................................................;;(WideMemo);
720;67;TSAP;TALLER DE SOLDADURA EN ATMÓSFERA PROTEGIDA;0;T;;..................................................................................................................................;;(WideMemo);
820;73;TSOL;TALLER DE SOLDADURA;0;T;;..................................................................................................................................;;(WideMemo);
